Original (English),Slovenian,Danish,German,Catalan (some entries require more context),Spanish (some entries require more context),Polish,English (changes)
Science Project,Projektna naloga,Videnskabsprojekt ,Wissenschaftliches Projekt,Projecte de ciències,Proyecto de ciencias,Projekt naukowy,Science Project
95%,95 %,95%,95%,95%,95%,95%,95%
Edit your character,Uredi svojo osebo ,Skab din karakter,Bearbeite deinen Charakter,Edita el teu personatge,Edita tu personaje,Edytuj swoją postać,Edit your character
 ,,,,,,, 
If you were Jasmin what would you do?,Kaj bi storil/a na Jasmininem mestu?,"Hvis du var Jasmin, hvad ville du så gøre?","Wenn du Jasmin wärest, was würdest du tun?","Si fóssis la Jasmin, què faries?","Si fueras Jasmin, ¿que harías?",Gdybyś był Jasminą co byś zrobił?,"If you were Jasmin, what would you do?"
"Did you know that only one third of the EU citizens know that they are legally protected against discrimination?\n\nThe EU supports equality policies at a national level, NGOs, social partners and establishes anti-discrimination trainings.","EU podpira politiko enakopravnosti na vseh ravneh družbe (na primer na ravni politike, šolanja, zaposlovanja in podobno).","Vidste du, at kun en tredjedel af EU-borgerne ved, at der findes love, som beskytter dem mod forskelsbehandling? EU støtter medlemslandenes ligestillingspolitik, NGO'er (ikke-statslige organisationer), sociale partnere og uddannelser mod diskrimination.","Wusstest du, dass nur ein Drittel der EU-Bürger weiß, dass sie rechtlich gegen Diskriminierung geschützt sind?\n\n Die EU unterstützt Gleichstellungspolitiken auf nationaler Ebene, NGOs, Sozialpartner und führt Anti-Diskriminierungsschulungen durch.","Sabies que només un terç dels ciutadans de la UE saben que estan protegits legalment contra la discriminació?\n\nLa UE dona suport a les polítiques d’igualtat a nivell nacional, a les ONG, als interlocutors socials i posa en marxa programes de formació contra la discriminació.","Sabías que sólo un tercio de los ciudadanos de la UE saben que están protegidos legalmente contra la discriminación? \n\nLa UE apoya las políticas de igualdad a nivel nacional, a las ONG, a los interlocutores sociales y pone en marcha programas de formación contra la discriminación.","Czy wiesz, że tylko jedna trzecia obywateli Unii zdaje sobie sprawę, iż prawo chroni ich przed dyskryminacją? \n\nUnia Europejska wspiera politykę równościową na poziomie narodowym, organizacje i partnerów społecznych oraz wprowadzanie zajęć antydyskryminacyjnych  ","Did you know that that EU citizens are legally protected against discrimination?\n\nThe EU supports equality policies at a national level and through NGOs, social partners and anti-discrimination trainings."
"After the first lessons of the school day, the class has a break. Choose one student to see what happens in the break.","Po prvi šolski uri je na vrsti odmor. Izberi enega učenca in poglej, kaj se dogaja med odmorom.","Efter de første timer har klassen pause. Vælg en elev for at se, hvad der sker i pausen.","Nach den ersten Stunden des Schultages hat die Klasse eine Pause. Wählen Sie einen Schüler aus, um zu sehen, was in der Pause passiert.","Després de les primeres lliçons del dia a l'escola, la classe té un descans. Tria un alumne per veure què passa al descans.","Después de las primeras lecciones del día en la escuela, la clase tiene un descanso. Elige un alumno para ver qué pasa en el descanso.",Po pierwszych dzisiejszych lekcjach klasa ma przerwę. Wybierz jednego z uczniów aby zobaczyć co się stanie w czasie przerwy ,"After the first lessons of the school day, the class has a break. Choose one student to see what happens during the break."
next,naprej,næste,weiter,Següent,Siguiente,dalej,next
3 million,3 milijone,3 millioner,3 Millionen,3 milions,3 millones,3 miliony,3 million
"Yes, I would ask her if she wants to come with us.","Da, vprašal/a bi jo, če se nam želi pridružiti.","Ja, jeg ville spørge hende, om hun vil komme med os.","Ja, ich würde sie fragen, ob sie mit uns kommen will.","Sí, li preguntaria si vol venir amb nosaltres.","Sí, le preguntaría si quiere venir con nosotros.","Tak, zapytam ją czy chce z nami iść","Yes, I would ask if she wants to come with us."
